experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,2,8787700,846231570930500,0,22912100,
0,2,8787700,846231572639700,1,576600,
0,2,8787700,846231573279600,2,636500,
0,2,8787700,846231573936800,3,652300,
0,2,8787700,846231574520600,4,579300,
0,2,8787700,846231574905900,5,383000,
0,2,8787700,846231575364800,6,456800,
0,2,8787700,846231575728200,7,361300,
0,2,8787700,846231576088700,8,358900,
0,2,8787700,846231576419000,9,328800,
0,2,8787700,846231576742200,10,321700,
0,2,8787700,846231577099300,11,331800,
0,2,8787700,846231577495100,12,394100,
0,2,8787700,846231577790500,13,293900,
0,2,8787700,846231578120600,14,328600,
0,1,1408600,846231582458600,0,41886200,
0,4,8455300,846231582818000,0,34780800,
0,3,8632500,846231583182400,0,35133200,
0,4,8455300,846231583572300,1,749100,
0,1,1408600,846231583912600,1,1449800,
0,4,8455300,846231584246400,2,671500,
0,3,8632500,846231584597400,1,1410100,
0,4,8455300,846231585221400,3,972600,
0,1,1408600,846231585447100,2,1531900,
0,1,1408600,846231585679100,3,230000,
0,4,8455300,846231585888100,4,664500,
0,3,8632500,846231586081200,2,1481100,
0,4,8455300,846231586281200,5,390400,
0,1,1408600,846231586517200,4,836300,
0,4,8455300,846231586742700,6,458900,
0,3,8632500,846231586943400,3,859800,
0,4,8455300,846231587145800,7,400500,
0,1,1408600,846231587329400,5,809900,
0,4,8455300,846231587510500,8,362200,
0,3,8632500,846231587692800,4,747000,
0,4,8455300,846231587875100,9,362100,
0,1,1408600,846231588056600,6,724700,
0,4,8455300,846231588269200,10,391600,
0,3,8632500,846231588487000,5,791800,
0,4,8455300,846231588743000,11,465700,
0,1,1408600,846231589023300,7,964400,
0,4,8455300,846231589228600,12,483100,
0,3,8632500,846231589435400,6,945900,
0,4,8455300,846231589652100,13,417700,
0,1,1408600,846231589866400,8,840500,
0,4,8455300,846231590145100,14,490300,
0,3,8632500,846231590361400,7,923500,
0,1,1408600,846231590586700,9,717700,
0,3,8632500,846231590873300,8,509000,
0,1,1408600,846231591064600,10,475300,
0,3,8632500,846231591337400,9,461400,
0,1,1408600,846231591547200,11,474500,
0,3,8632500,846231591792900,10,453100,
0,1,1408600,846231592060000,12,510000,
0,3,8632500,846231592339700,11,538400,
0,1,1408600,846231592534400,13,448000,
0,3,8632500,846231592801400,12,459200,
0,1,1408600,846231593015000,14,477900,
0,3,8632500,846231593314600,13,510800,
0,3,8632500,846231593571100,14,254200,
0,1,1408600,,,TOTAL,,52445500
0,2,8787700,,,TOTAL,,30104500
0,3,8632500,,,TOTAL,,45524300
0,4,8455300,,,TOTAL,,42111000
1,1,2746000,846231795768700,0,21496400,
1,4,1138500,846231796063100,0,23753300,
1,3,300,846231796435000,0,22159000,
1,2,2905700,846231796789100,0,22515000,
1,4,1138500,846231797092200,1,479400,
1,1,2746000,846231797421200,1,808600,
1,3,300,846231797741400,1,1128800,
1,1,2746000,846231798032700,2,608800,
1,4,1138500,846231798295200,2,1200500,
1,2,2905700,846231798586000,1,1791300,
1,4,1138500,846231798816100,3,518200,
1,1,2746000,846231799092800,3,1057200,
1,1,2746000,846231799317300,4,221900,
1,3,300,846231799610300,2,1866300,
1,1,2746000,846231799888300,5,568200,
1,4,1138500,846231800159700,4,1340800,
1,2,2905700,846231800439200,2,1850100,
1,2,2905700,846231800723400,3,281400,
1,4,1138500,846231800994600,5,832400,
1,1,2746000,846231801233900,6,1342400,
1,3,300,846231801519200,3,1906300,
1,1,2746000,846231801790900,7,554300,
1,4,1138500,846231802017500,6,1020400,
1,2,2905700,846231802303600,4,1577700,
1,4,1138500,846231802573400,7,553300,
1,1,2746000,846231802780400,8,986400,
1,3,300,846231803039500,4,1517800,
1,1,2746000,846231803265300,9,482300,
1,4,1138500,846231803498600,8,922200,
1,2,2905700,846231803727200,5,1421400,
1,4,1138500,846231804001300,9,499800,
1,1,2746000,846231804205900,10,938000,
1,3,300,846231804391400,5,1349200,
1,1,2746000,846231804642300,11,416900,
1,4,1138500,846231804898400,10,893200,
1,2,2905700,846231805154700,6,1424700,
1,4,1138500,846231805414600,11,508200,
1,1,2746000,846231805647700,12,1002900,
1,3,300,846231805885500,6,1491600,
1,1,2746000,846231806141900,13,491300,
1,1,2746000,846231806387600,14,243000,
1,4,1138500,846231806679500,12,1261000,
1,2,2905700,846231806947000,7,1789700,
1,4,1138500,846231807232900,13,550600,
1,3,300,846231807435900,7,1547700,
1,4,1138500,846231807704800,14,469200,
1,2,2905700,846231808017400,8,1067900,
1,3,300,846231808308600,8,869800,
1,2,2905700,846231808525800,9,505600,
1,3,300,846231808787000,9,475700,
1,2,2905700,846231809039800,10,511100,
1,3,300,846231809315200,10,525800,
1,2,2905700,846231809530300,11,480200,
1,3,300,846231809814600,11,491900,
1,2,2905700,846231810088900,12,556100,
1,3,300,846231810356700,12,507400,
1,2,2905700,846231810609300,13,517700,
1,3,300,846231810843700,13,484500,
1,3,300,846231811067000,14,220600,
1,2,2905700,846231811365500,14,753700,
1,1,2746000,,,TOTAL,,32118300
