experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,1,465800,847998121350300,0,20121800,
0,3,288400,847998121834100,0,20605200,
0,4,362400,847998122428900,0,21175200,
0,2,481600,847998122824100,0,21538400,
0,4,362400,847998123363700,1,930300,
0,1,465800,847998123777900,1,1627700,
0,3,288400,847998124221400,1,2070100,
0,1,465800,847998124627200,2,846700,
0,4,362400,847998125063500,2,1697600,
0,2,481600,847998125419200,1,2590200,
0,4,362400,847998125957200,3,891900,
0,1,465800,847998126330400,3,1700600,
0,3,288400,847998126675800,2,2451800,
0,1,465800,847998127125200,4,792100,
0,4,362400,847998127498500,4,1538800,
0,2,481600,847998127846600,2,2424800,
0,4,362400,847998128207900,5,702700,
0,1,465800,847998128567700,5,1439800,
0,3,288400,847998128917400,3,2239100,
0,1,465800,847998129258900,6,688600,
0,4,362400,847998129793100,6,1582700,
0,2,481600,847998130160800,3,2311300,
0,4,362400,847998130488900,7,693400,
0,4,362400,847998131002800,8,512100,
0,1,465800,847998131237000,7,1975400,
0,3,288400,847998131430500,4,2510400,
0,1,465800,847998131679600,8,440200,
0,4,362400,847998131922400,9,917500,
0,2,481600,847998132125600,4,1962300,
0,4,362400,847998132325400,10,400200,
0,1,465800,847998132518900,9,836800,
0,3,288400,847998132714300,5,1281300,
0,1,465800,847998132939100,10,417600,
0,4,362400,847998133129400,11,774900,
0,2,481600,847998133323700,5,1195500,
0,2,481600,847998133514800,6,189100,
0,4,362400,847998133702700,12,570700,
0,1,465800,847998133903700,11,951100,
0,3,288400,847998134121200,6,1404800,
0,1,465800,847998134334200,12,423300,
0,4,362400,847998134583700,13,878600,
0,2,481600,847998134802900,7,1285700,
0,4,362400,847998135024500,14,438300,
0,1,465800,847998135347100,13,1010600,
0,3,288400,847998135531500,7,1408000,
0,1,465800,847998135728100,14,378200,
0,2,481600,847998135982400,8,1177200,
0,3,288400,847998136165000,8,631200,
0,2,481600,847998136352500,9,367900,
0,3,288400,847998136526100,9,358800,
0,2,481600,847998136701100,10,346300,
0,3,288400,847998136880700,10,352500,
0,2,481600,847998137132600,11,423000,
0,3,288400,847998137357600,11,470100,
0,2,481600,847998137594800,12,459600,
0,3,288400,847998137808900,12,410400,
0,2,481600,847998138035400,13,436000,
0,3,288400,847998138227600,13,416400,
0,2,481600,847998138414700,14,376700,
0,3,288400,847998138666400,14,436500,
0,1,465800,,,TOTAL,,34502100
0,2,481600,,,TOTAL,,37131500
0,3,288400,,,TOTAL,,37439500
0,4,362400,,,TOTAL,,33773100
1,4,1262500,847998337059600,0,26735800,
1,1,1217000,847998337421600,0,27055600,
1,2,417300,847998337758500,0,27434300,
1,3,815600,847998338095300,0,27770200,
1,4,1262500,847998338301000,1,377800,
1,1,1217000,847998338505200,1,581900,
1,2,417300,847998338900100,1,976800,
1,1,1217000,847998339146600,2,638800,
1,4,1262500,847998339488800,2,1185100,
1,3,815600,847998339700200,1,1598600,
1,4,1262500,847998340018100,3,526800,
1,1,1217000,847998340258600,3,1109100,
1,1,1217000,847998340522600,4,261400,
1,2,417300,847998340873300,2,1970600,
1,1,1217000,847998341146300,5,621100,
1,4,1262500,847998341327300,4,1306700,
1,3,815600,847998341506900,2,1803700,
1,4,1262500,847998341678800,5,349000,
1,1,1217000,847998341852300,6,703100,
1,2,417300,847998342036300,3,1160300,
1,1,1217000,847998342303600,7,449000,
1,4,1262500,847998342525600,6,844500,
1,3,815600,847998342798000,3,1288300,
1,4,1262500,847998343000400,7,472500,
1,1,1217000,847998343255300,8,948800,
1,2,417300,847998343529700,4,1490900,
1,1,1217000,847998343788100,9,529900,
1,4,1262500,847998344050100,8,1047200,
1,3,815600,847998344316200,4,1515600,
1,4,1262500,847998344564600,9,511900,
1,1,1217000,847998344815100,10,1024300,
1,2,417300,847998345013100,5,1481000,
1,1,1217000,847998345238600,11,409000,
1,4,1262500,847998345459700,10,892300,
1,3,815600,847998345776000,5,1456800,
1,4,1262500,847998346026600,11,556900,
1,1,1217000,847998346319300,12,1078100,
1,2,417300,847998346538900,6,1523100,
1,1,1217000,847998346762200,13,440500,
1,4,1262500,847998346987300,12,958200,
